"rt","stimulus","key_press","label","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","order","sub","obj","correct","responses","question_order","answer"
1063.2250000489876,"<p style='text-align:left'>This study is about memory for social groups. There are five people involved:</p>
<p> Liam William Oliver James Mason</p>
<p style='text-align:left'>Your job is to learn who influences who among these people. You will be shown sentences one at a time, each of the form ""Liam influences William."" For each sentence, indicate with a keypress whether the sentence is true. If you think that the sentence is true, then you would press F. Otherwise, you would press J. After you guess, you will be told whether you are correct or not. You will go through many sentences in this way until you successfully learn the relationships. Take your time, don’t rush, and make sure to try to understand the sentences, as that is the best way to learn.

<p>Press spacebar to continue</p>",32,"instructions","html-keyboard-response",0,1068,"0.0-0.0","3","influences","Oliver,William,Liam,Mason,James",,,,,,
1211.0000000102445,"<p>Oliver influences William</p>",70,"learning","html-keyboard-response",1,2281,"0.0-1.0-0.0-0.0-0.0","3","influences","Oliver,William,Liam,Mason,James","A","B",true,,,
,"<p style='color:blue'>Correct!</p>",,"feedback","html-keyboard-response",2,2785,"0.0-1.0-0.0-0.0-1.0","3","influences","Oliver,William,Liam,Mason,James",,,,,,
370.6549999769777,"<p>William influences Oliver</p>",74,"learning","html-keyboard-response",3,3157,"0.0-1.0-0.0-0.1-0.1","3","influences","Oliver,William,Liam,Mason,James","B","A",true,,,
,"<p style='color:blue'>Correct!</p>",,"feedback","html-keyboard-response",4,3660,"0.0-1.0-0.0-0.1-1.1","3","influences","Oliver,William,Liam,Mason,James",,,,,,
462.3100000899285,"<p style='text-align:left'>In this portion of the experiment, you will complete a few short math problems. These problems do not require the use of a calculator, though you may use one if you wish, along with a pen or pencil and some paper. Do not use the Internet. Take your time, and make sure your answers reflect your best effort.</p><p>Press spacebar to continue.</p>",32,"instructions","html-keyboard-response",5,4124,"0.0-2.0","3","influences","Oliver,William,Liam,Mason,James",,,,,,
1573.7349999835715,,,"distractor","survey-multi-choice",6,5701,"0.0-3.0","3","influences","Oliver,William,Liam,Mason,James",,,,"{""Q0"":""""}","[0]","3"
738.4150000289083,,,"distractor","survey-multi-choice",7,6441,"0.0-4.0","3","influences","Oliver,William,Liam,Mason,James",,,,"{""Q0"":""""}","[0]","0"
1024.6599999954924,,,,"survey-text",8,7475,"0.0-5.0","3","influences","Oliver,William,Liam,Mason,James",,,,"{""Q0"":""""}",,
975.1599999144673,"<p style='text-align:left'>In this portion of the experiment, your memory for the relationships in the first part of the experiment will be tested. You will be shown sentences one at a time. For each sentence, press F it is true and J if it is false. Press spacebar to continue.</p>",32,"instructions","html-keyboard-response",9,8451,"0.0-6.0","3","influences","Oliver,William,Liam,Mason,James",,,,,,
345.31000000424683,"<p>Oliver influences William</p>",70,"test","html-keyboard-response",10,8798,"0.0-7.0-0.0","3","influences","Oliver,William,Liam,Mason,James","A","B",true,,,
290.82500003278255,"<p>William influences Oliver</p>",70,"test","html-keyboard-response",11,9090,"0.0-7.0-0.1","3","influences","Oliver,William,Liam,Mason,James","B","A",false,,,
1061.8850000901148,,,,"survey-text",12,10155,"0.0-8.0","3","influences","Oliver,William,Liam,Mason,James",,,,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",,ences one at a time. For each sentence, press F it is true and J if it is false. Press spacebar to continue.</p>",32,"instructions","html-keyboard-response",13,8904,"0.0-6.0","1","influences","Oliver,Lucas,Benjamin,William,James",,,,,,
401.42999996896833,"<p>Oliver influences Lucas</p>",70,"test","html-keyboard-response",14,9306,"0.0-7.0-0.0","1","influences","Oliver,Lucas,Benjamin,William,James","A","B",true,,,
184.39000006765127,"<p>Lucas influences Oliver</p>",70,"test","html-keyboard-response",15,9492,"0.0-7.0-0.1","1","influences","Oliver,Lucas,Benjamin,William,James","B","A",false,,,
892.2100000781938,,,,"survey-text",16,10387,"0.0-8.0","1","influences","Oliver,Lucas,Benjamin,William,James",,,,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",,
